運動場,运动场，体育场,うんどうじょう,
苦い,苦，痛苦,にがい,苦い薬を飲む。
小学生,小学生,しょうがくせい,
地方,地方，外地,ちほう,
追試,补考,ついし,
お面,面具，假面,おめん,
ふーん,哼,,
ワンピース,连衣裙,,
黒板,黑板,こくばん,
～倍,~倍,～ばい,
取り上げる,没收,とりあげる,

反省文,检讨书,はんせいぶん,
更に,更加，进一步,さらに,先生に反省文を書かせられて、更に校庭を十週走らせられた。
文句,抱怨，牢骚,もんく,
朝寝坊する,早晨睡懒觉,あさねぼうする,日曜日だから、朝寝坊します。
ごちそうする,请客,,あの課長はいつも部下にごちそうします。
立入禁止,禁止入内,たちいりきんし,
撮影,摄影，摄像，拍照,さつえい,
昼間,白天,ひるま,

踏む,踩，踏,ふむ,足を踏まれた。
深い,深，浓,ふかい,将来のことを深く考える。
ゴールデンウィーク,五月黄金周,,
旅行会社,旅行社,りょこうがいしゃ,
